post_code,percent_population_exposed,date,Brand
800,29.35,1/1/2024,Brand X
805,0,1/1/2024,Brand X
810,33.83,1/1/2024,Brand X
815,3.92,1/1/2024,Brand X
820,3.28,1/1/2024,Brand X
825,2.11,1/1/2024,Brand X
830,37.76,1/1/2024,Brand X
835,33.14,1/1/2024,Brand X
840,3.65,1/1/2024,Brand X
845,37.59,1/1/2024,Brand X
850,33.51,1/1/2024,Brand X
855,32.88,1/1/2024,Brand X
860,1.31,1/1/2024,Brand X
865,3.65,1/1/2024,Brand X
870,5.21,1/1/2024,Brand X
875,42.67,1/1/2024,Brand X
880,2.23,1/1/2024,Brand X
885,4.58,1/1/2024,Brand X
890,25.08,1/1/2024,Brand X
895,5.48,1/1/2024,Brand X
900,5.28,1/1/2024,Brand X
915,3.23,1/1/2024,Brand X
930,45.43,1/1/2024,Brand X
945,24.13,1/1/2024,Brand X
960,49.52,1/1/2024,Brand X
975,1.37,1/1/2024,Brand X
990,1.95,1/1/2024,Brand X
2000,2.93,1/1/2024,Brand X
2005,33.11,1/1/2024,Brand X
2010,41.79,1/1/2024,Brand X
2015,23.34,1/1/2024,Brand X
2020,33.11,1/1/2024,Brand X
2025,1.85,1/1/2024,Brand X
2030,24.72,1/1/2024,Brand X
2035,2.24,1/1/2024,Brand X
2040,0.94,1/1/2024,Brand X
2045,3.86,1/1/2024,Brand X
2050,3.09,1/1/2024,Brand X
2055,2.22,1/1/2024,Brand X
2060,36.39,1/1/2024,Brand X
2065,6.03,1/1/2024,Brand X
2070,43.53,1/1/2024,Brand X
2075,46.54,1/1/2024,Brand X
2080,24.76,1/1/2024,Brand X
2085,20.4,1/1/2024,Brand X
2090,1.59,1/1/2024,Brand X
2095,4.11,1/1/2024,Brand X
2100,6.1,1/1/2024,Brand X
2105,2.02,1/1/2024,Brand X
2110,32.36,1/1/2024,Brand X
2115,2.83,1/1/2024,Brand X
2120,1.91,1/1/2024,Brand X
2125,2.32,1/1/2024,Brand X
2130,5.74,1/1/2024,Brand X
2135,30.74,1/1/2024,Brand X
2140,42.48,1/1/2024,Brand X
2145,46.5,1/1/2024,Brand X
2150,2.8,1/1/2024,Brand X
2155,4.44,1/1/2024,Brand X
2160,1.57,1/1/2024,Brand X
2165,34.12,1/1/2024,Brand X
2170,19.27,1/1/2024,Brand X
2175,2.65,1/1/2024,Brand X
2180,43.44,1/1/2024,Brand X
2185,4.77,1/1/2024,Brand X
2190,24.3,1/1/2024,Brand X
2195,46.82,1/1/2024,Brand X
2200,1.67,1/1/2024,Brand X
2205,20.38,1/1/2024,Brand X
2210,26.93,1/1/2024,Brand X
2215,35.52,1/1/2024,Brand X
2220,4.87,1/1/2024,Brand X
2225,48.44,1/1/2024,Brand X
2230,31.19,1/1/2024,Brand X
2235,3.08,1/1/2024,Brand X
2240,41.23,1/1/2024,Brand X
2245,44.36,1/1/2024,Brand X
2250,23.67,1/1/2024,Brand X
2255,33.75,1/1/2024,Brand X
2260,31.4,1/1/2024,Brand X
2265,4.92,1/1/2024,Brand X
2270,28.5,1/1/2024,Brand X
2275,29.36,1/1/2024,Brand X
2280,42.08,1/1/2024,Brand X
2285,35.84,1/1/2024,Brand X
2290,1.88,1/1/2024,Brand X
2295,28.88,1/1/2024,Brand X
2300,1.13,1/1/2024,Brand X
2310,23.8,1/1/2024,Brand X
2320,33.13,1/1/2024,Brand X
2330,20.77,1/1/2024,Brand X
2340,5.05,1/1/2024,Brand X
2350,44.03,1/1/2024,Brand X
2360,44.99,1/1/2024,Brand X
2370,0,1/1/2024,Brand X
2380,2.4,1/1/2024,Brand X
2390,0.22,1/1/2024,Brand X
2400,2.38,1/1/2024,Brand X
2410,0,1/1/2024,Brand X
2420,5.21,1/1/2024,Brand X
2430,0.88,1/1/2024,Brand X
2440,45.83,1/1/2024,Brand X
2450,6.22,1/1/2024,Brand X
2460,4.45,1/1/2024,Brand X
2470,36.54,1/1/2024,Brand X
2480,3.34,1/1/2024,Brand X
2490,1.47,1/1/2024,Brand X
2500,5.16,1/1/2024,Brand X
2510,30.41,1/1/2024,Brand X
2520,40.96,1/1/2024,Brand X
2530,32.89,1/1/2024,Brand X
2540,5.04,1/1/2024,Brand X
2550,3.87,1/1/2024,Brand X
2560,4.57,1/1/2024,Brand X
2570,43.52,1/1/2024,Brand X
2580,2.81,1/1/2024,Brand X
2590,42.07,1/1/2024,Brand X
2600,44.46,1/1/2024,Brand X
2601,36.59,1/1/2024,Brand X
2602,2.18,1/1/2024,Brand X
2603,3.86,1/1/2024,Brand X
2604,5.36,1/1/2024,Brand X
2605,1.66,1/1/2024,Brand X
2606,1.33,1/1/2024,Brand X
2607,5.09,1/1/2024,Brand X
2608,0,1/1/2024,Brand X
2609,0.79,1/1/2024,Brand X
2610,2.29,1/1/2024,Brand X
2611,0.18,1/1/2024,Brand X
2612,3.09,1/1/2024,Brand X
2613,2.41,1/1/2024,Brand X
2614,29.5,1/1/2024,Brand X
2615,39.14,1/1/2024,Brand X
2616,33.55,1/1/2024,Brand X
2617,4.16,1/1/2024,Brand X
2618,23.49,1/1/2024,Brand X
2619,0.59,1/1/2024,Brand X
2620,38.34,1/1/2024,Brand X
2630,2.71,1/1/2024,Brand X
2640,0,1/1/2024,Brand X
2650,43.88,1/1/2024,Brand X
2660,4.71,1/1/2024,Brand X
2670,2.43,1/1/2024,Brand X
2680,0.21,1/1/2024,Brand X
2690,39.14,1/1/2024,Brand X
2700,41.28,1/1/2024,Brand X
2710,1.77,1/1/2024,Brand X
2720,3.5,1/1/2024,Brand X
2730,36,1/1/2024,Brand X
2740,1.03,1/1/2024,Brand X
2750,0.5,1/1/2024,Brand X
2760,4.59,1/1/2024,Brand X
2770,2.28,1/1/2024,Brand X
2780,36.69,1/1/2024,Brand X
2790,4.53,1/1/2024,Brand X
2800,24.09,1/1/2024,Brand X
2815,4.32,1/1/2024,Brand X
2830,0,1/1/2024,Brand X
2845,46.32,1/1/2024,Brand X
2860,1.24,1/1/2024,Brand X
2875,1.47,1/1/2024,Brand X
2890,4.13,1/1/2024,Brand X
2900,5.71,1/1/2024,Brand X
2902,22.4,1/1/2024,Brand X
2904,1.91,1/1/2024,Brand X
2905,43.69,1/1/2024,Brand X
2906,4.45,1/1/2024,Brand X
2908,24.37,1/1/2024,Brand X
2910,4.6,1/1/2024,Brand X
2912,2.36,1/1/2024,Brand X
2914,1.81,1/1/2024,Brand X
2916,4.92,1/1/2024,Brand X
2918,1.62,1/1/2024,Brand X
2920,5.1,1/1/2024,Brand X
2935,43.73,1/1/2024,Brand X
2950,0,1/1/2024,Brand X
2965,50.7,1/1/2024,Brand X
2980,34.52,1/1/2024,Brand X
2995,32.12,1/1/2024,Brand X
3000,3.67,1/1/2024,Brand X
3005,2.27,1/1/2024,Brand X
3010,17.78,1/1/2024,Brand X
3015,48.92,1/1/2024,Brand X
3020,1.62,1/1/2024,Brand X
3025,31.99,1/1/2024,Brand X
3030,0,1/1/2024,Brand X
3035,1.11,1/1/2024,Brand X
3040,4.39,1/1/2024,Brand X
3045,20.64,1/1/2024,Brand X
3050,3.26,1/1/2024,Brand X
3055,0.83,1/1/2024,Brand X
3060,5.28,1/1/2024,Brand X
3065,28.17,1/1/2024,Brand X
3070,2.12,1/1/2024,Brand X
3075,4.46,1/1/2024,Brand X
3080,3.11,1/1/2024,Brand X
3085,30.82,1/1/2024,Brand X
3090,2.53,1/1/2024,Brand X
3095,2.23,1/1/2024,Brand X
3100,33.01,1/1/2024,Brand X
3105,3.11,1/1/2024,Brand X
3110,4.83,1/1/2024,Brand X
3115,1.25,1/1/2024,Brand X
3120,46.9,1/1/2024,Brand X
3125,29.06,1/1/2024,Brand X
3130,2.01,1/1/2024,Brand X
3135,2,1/1/2024,Brand X
3140,3.82,1/1/2024,Brand X
3145,37.62,1/1/2024,Brand X
3150,31.41,1/1/2024,Brand X
3155,37.96,1/1/2024,Brand X
3160,41.58,1/1/2024,Brand X
3165,49.73,1/1/2024,Brand X
3170,40.94,1/1/2024,Brand X
3175,0,1/1/2024,Brand X
3180,26.96,1/1/2024,Brand X
3185,0.64,1/1/2024,Brand X
3190,0.05,1/1/2024,Brand X
3195,47.33,1/1/2024,Brand X
3200,1.85,1/1/2024,Brand X
3205,29.08,1/1/2024,Brand X
3210,28.86,1/1/2024,Brand X
3215,2.03,1/1/2024,Brand X
3220,5.6,1/1/2024,Brand X
3225,3.56,1/1/2024,Brand X
3230,4.73,1/1/2024,Brand X
3235,1.96,1/1/2024,Brand X
3240,26.16,1/1/2024,Brand X
3245,34.47,1/1/2024,Brand X
3250,1.65,1/1/2024,Brand X
3260,3.83,1/1/2024,Brand X
3270,22.07,1/1/2024,Brand X
3280,1.55,1/1/2024,Brand X
3290,4.33,1/1/2024,Brand X
3300,47.66,1/1/2024,Brand X
3310,29.35,1/1/2024,Brand X
3320,48.52,1/1/2024,Brand X
3330,4.1,1/1/2024,Brand X
3340,40.64,1/1/2024,Brand X
3350,2.37,1/1/2024,Brand X
3360,0.47,1/1/2024,Brand X
3370,2.32,1/1/2024,Brand X
3380,4.14,1/1/2024,Brand X
3390,5.43,1/1/2024,Brand X
3400,35.59,1/1/2024,Brand X
3410,0,1/1/2024,Brand X
3420,0.71,1/1/2024,Brand X
3430,38.57,1/1/2024,Brand X
3440,27.81,1/1/2024,Brand X
3450,42.78,1/1/2024,Brand X
3460,43.33,1/1/2024,Brand X
3470,6.1,1/1/2024,Brand X
3480,5.09,1/1/2024,Brand X
3490,0.92,1/1/2024,Brand X
3500,1.73,1/1/2024,Brand X
3515,0.91,1/1/2024,Brand X
3530,46.26,1/1/2024,Brand X
3545,46.76,1/1/2024,Brand X
3560,0.78,1/1/2024,Brand X
3575,38.84,1/1/2024,Brand X
3590,23.58,1/1/2024,Brand X
3605,3.97,1/1/2024,Brand X
