brand_name,targeting_opportunity_score,brand_total_reach,brand_total_unreached
Menulog,1105376.826390719,2097369.3311624997,4176683.6688375003
Telstra Mobile,1091228.263005721,2251079.4625367345,4022973.5374632655
Qantas Airways,1080761.2586794912,2206598.7319625,4067454.2680375003
Chemist Warehouse,1077742.5271429305,2274535.828675,3999517.171325
Harvey Norman,1076823.4094797373,2288971.0996285714,3985081.9003714286
JB Hi-Fi,1041099.0376709395,2406260.3556375,3867792.6443625
Woolworths,1025395.7567294226,2480756.2120857146,3793296.787914286
Kmart Australia,1024193.0880639227,2475826.755117857,3798226.244882143
Toyota Australia,984293.603510926,2630532.3333,3643520.6667
Commonwealth Bank,962581.4793873972,2640464.933285714,3633588.066714286
REA Group (realestate.com.au),924074.0830132806,2830323.1166767855,3443729.8833232145
Bunnings Warehouse,880322.9127173541,3003073.8598589282,3270979.1401410718
